,media/selectedSource/Radio,phone/Call/Favorite,navi/Start/Favorite,phone/Connect/NewDevice,car/driveMode/0,phone/Start/CarPlay,car/driveMode/1.0,car/charismaLevel/Tief,car/charismaLevel/Lift,phone/goTo/Favorite,navi/Start/Address,phone/Call/PersonX,car/driveMode/3.0,car/charismaLevel/Mittel,clima/AC/on,car/charismaLevel/Abgesenkt,car/Start/ParkAssistant,phone/Start/AndroidAuto,media/selectedSource/Favorite,media/selectedSource/CarPlay,clima/AC/off,clima/AC/ECO,media/selectedSource/Bluetooth,car/ESS/on,car/driveMode/2.0,car/driveMode/3,car/driveMode/0.0,car/driveMode/2
media/selectedSource/Radio,1126,1,9,0,0,0,0,0,0,21,8,0,32,0,0,0,0,0,2,2,0,1,16,0,0,0,22,0
phone/Call/Favorite,1,36,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
navi/Start/Favorite,18,0,376,0,0,1,0,0,0,8,16,0,6,0,0,0,0,0,0,0,0,0,3,0,1,0,11,0
phone/Connect/NewDevice,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
car/driveMode/0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
phone/Start/CarPlay,1,0,1,0,0,33,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
car/driveMode/1.0,3,0,0,0,0,0,32,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
car/charismaLevel/Tief,0,0,0,0,0,0,0,20,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
car/charismaLevel/Lift,1,0,0,0,0,0,0,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
phone/goTo/Favorite,30,2,7,0,0,0,0,0,0,372,13,1,33,0,0,0,0,0,1,1,3,0,7,0,0,0,18,0
navi/Start/Address,14,0,17,0,0,0,0,0,0,6,403,0,1,0,0,0,0,0,1,0,1,0,2,0,0,0,7,0
phone/Call/PersonX,0,0,0,0,0,0,0,0,0,10,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
car/driveMode/3.0,4,0,2,0,0,0,0,0,0,5,2,0,529,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
car/charismaLevel/Mittel,2,0,0,0,0,0,0,0,0,1,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
clima/AC/on,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
car/charismaLevel/Abgesenkt,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0
car/Start/ParkAssistant,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
phone/Start/AndroidAuto,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,1,0,0,0,0,0
media/selectedSource/Favorite,14,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,129,0,0,0,0,0,0,0,1,0
media/selectedSource/CarPlay,5,0,3,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,2,107,0,0,0,0,0,0,1,0
clima/AC/off,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,15,0,1,0,0,0,1,0
clima/AC/ECO,2,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,17,0,0,0,0,1,0
media/selectedSource/Bluetooth,4,0,0,0,0,0,0,0,0,2,0,0,5,0,0,0,0,0,0,0,0,0,154,0,0,0,6,0
car/ESS/on,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0
car/driveMode/2.0,1,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,24,0,2,0
car/driveMode/3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
car/driveMode/0.0,7,0,0,0,0,0,0,0,0,1,2,0,3,0,0,0,0,0,1,1,1,0,1,0,0,0,630,0
car/driveMode/2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
