,clima/AC/on,media/selectedSource/Radio,car/charismaLevel/Tief,phone/Connect/NewDevice,clima/AC/ECO,car/charismaLevel/Mittel,car/driveMode/3.0,navi/Start/Favorite,car/Start/ParkAssistant,phone/goTo/Favorite,car/driveMode/3,phone/Call/PersonX,car/charismaLevel/Lift,car/ESS/on,car/driveMode/1.0,navi/Start/Address,car/driveMode/2.0,phone/Call/Favorite,car/driveMode/2,media/selectedSource/Bluetooth,car/charismaLevel/Abgesenkt,media/selectedSource/Favorite,clima/AC/off,media/selectedSource/CarPlay,phone/Start/AndroidAuto,phone/Start/CarPlay,car/driveMode/0.0,car/driveMode/0
clima/AC/on,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
media/selectedSource/Radio,0,972,0,0,5,6,114,92,1,149,1,5,2,1,6,107,6,1,0,127,0,90,9,64,4,6,42,3
car/charismaLevel/Tief,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
phone/Connect/NewDevice,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
clima/AC/ECO,0,1,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
car/charismaLevel/Mittel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
car/driveMode/3.0,0,83,1,0,2,0,276,21,0,21,0,1,0,0,6,36,8,0,0,8,0,1,0,1,1,1,61,0
navi/Start/Favorite,1,48,0,0,1,0,38,28,0,17,0,0,1,0,2,28,1,0,0,9,0,8,0,6,1,1,14,0
car/Start/ParkAssistant,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
phone/goTo/Favorite,0,135,3,1,2,3,20,37,1,162,0,13,1,0,2,37,1,17,0,6,2,4,5,10,2,2,11,1
car/driveMode/3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
phone/Call/PersonX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
car/charismaLevel/Lift,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
car/ESS/on,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
car/driveMode/1.0,0,9,0,0,0,0,9,4,0,1,0,0,0,0,1,5,1,0,0,5,0,0,0,0,0,0,3,0
navi/Start/Address,1,178,6,0,6,2,67,263,0,93,1,1,1,2,4,381,3,0,0,19,2,13,0,13,1,3,51,0
car/driveMode/2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
phone/Call/Favorite,0,33,0,0,0,0,0,8,0,45,0,2,0,0,0,3,0,28,0,0,1,5,0,13,0,4,0,0
car/driveMode/2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
media/selectedSource/Bluetooth,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
car/charismaLevel/Abgesenkt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
media/selectedSource/Favorite,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
clima/AC/off,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
media/selectedSource/CarPlay,1,120,3,0,3,5,4,25,0,24,0,0,0,0,1,14,0,2,0,4,3,16,1,37,0,22,2,0
phone/Start/AndroidAuto,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
phone/Start/CarPlay,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
car/driveMode/0.0,0,177,5,0,5,2,84,43,0,26,0,0,1,4,8,58,5,0,1,41,3,16,5,1,1,0,525,3
car/driveMode/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
